84.0, 53.0, 62.0, 70.0
87.0, 53.0, 61.0, 70.0
90.0, 54.0, 60.0, 69.0
92.0, 54.0, 60.0, 69.0
93.0, 55.0, 59.0, 68.0
93.0, 55.0, 59.0, 68.0
93.0, 55.0, 59.0, 69.0
93.0, 55.0, 59.0, 68.0
92.0, 54.0, 58.0, 68.0
91.0, 53.0, 59.0, 68.0
90.0, 54.0, 58.0, 67.0
89.0, 53.0, 58.0, 68.0
87.0, 53.0, 58.0, 68.0
86.0, 54.0, 59.0, 68.0
84.0, 54.0, 58.0, 67.0
82.0, 55.0, 58.0, 67.0
81.0, 56.0, 57.0, 67.0
80.0, 57.0, 57.0, 66.0
79.0, 58.0, 57.0, 66.0
78.0, 59.0, 56.0, 66.0
77.0, 60.0, 55.0, 65.0
77.0, 61.0, 57.0, 66.0
77.0, 61.0, 55.0, 66.0
77.0, 61.0, 57.0, 66.0
78.0, 61.0, 55.0, 64.0
79.0, 61.0, 55.0, 64.0
80.0, 60.0, 55.0, 65.0
81.0, 60.0, 56.0, 64.0
82.0, 60.0, 55.0, 63.0
84.0, 58.0, 55.0, 64.0
86.0, 58.0, 55.0, 64.0
86.0, 57.0, 55.0, 65.0
88.0, 57.0, 56.0, 65.0
89.0, 57.0, 56.0, 65.0
91.0, 57.0, 55.0, 65.0
92.0, 57.0, 55.0, 64.0
93.0, 57.0, 55.0, 65.0
94.0, 57.0, 55.0, 64.0
95.0, 56.0, 55.0, 65.0
96.0, 56.0, 55.0, 65.0
97.0, 56.0, 55.0, 65.0
97.0, 56.0, 55.0, 64.0
98.0, 56.0, 56.0, 65.0
99.0, 56.0, 55.0, 65.0
99.0, 57.0, 55.0, 64.0
99.0, 57.0, 55.0, 65.0
100.0, 58.0, 55.0, 64.0
101.0, 58.0, 54.0, 64.0
101.0, 59.0, 54.0, 64.0
100.0, 59.0, 54.0, 63.0
100.0, 59.0, 55.0, 64.0
100.0, 58.0, 54.0, 65.0
100.0, 59.0, 53.0, 65.0
99.0, 59.0, 56.0, 65.0
99.0, 59.0, 54.0, 63.0
99.0, 59.0, 55.0, 64.0
98.0, 58.0, 55.0, 64.0
98.0, 57.0, 55.0, 65.0
97.0, 57.0, 57.0, 65.0
96.0, 57.0, 55.0, 65.0
96.0, 57.0, 55.0, 65.0
95.0, 57.0, 54.0, 63.0
94.0, 57.0, 55.0, 64.0
93.0, 57.0, 57.0, 65.0
93.0, 58.0, 55.0, 64.0
92.0, 57.0, 55.0, 64.0
91.0, 58.0, 55.0, 64.0
90.0, 58.0, 55.0, 64.0
90.0, 58.0, 55.0, 63.0
89.0, 58.0, 55.0, 64.0
88.0, 57.0, 56.0, 64.0
88.0, 58.0, 54.0, 64.0
87.0, 57.0, 56.0, 65.0
87.0, 58.0, 55.0, 64.0
86.0, 57.0, 55.0, 64.0
86.0, 58.0, 55.0, 64.0
86.0, 58.0, 54.0, 63.0
86.0, 58.0, 54.0, 63.0
85.0, 58.0, 54.0, 63.0
